SDF,DEN,2
DFW,CRP,2
DEN,IAH,2
LAS,IAH,2
LAX,SJC,2
BOS,LAX,2
10721,11057,1
10800,12478,1
11109,11298,1
11618,11193,1
12266,14771,1
12889,11259,1
12892,14771,1
14100,11292,1
14107,16218,1
ACT,DFW,1
ATL,BHM,1
ATL,DAL,1
ATL,GNV,1
ATL,MDW,1
AUS,BWI,1
BDL,ATL,1
BNA,LGA,1
BOS,DTW,1
BOS,MIA,1
BOS,PHX,1
BOS,RSW,1
BOS,SEA,1
BWI,LAS,1
CAK,ATL,1
CHA,DFW,1
CHS,BWI,1
CLE,LGA,1
CLT,IAH,1
CLT,IND,1
CLT,RDU,1
CMH,IAH,1
CMH,MDW,1
CMH,RSW,1
CMI,DFW,1
DAL,LGA,1
DCA,SEA,1
DEN,MDW,1
DEN,OKC,1
DEN,SAN,1
DFW,IAD,1
DTW,CID,1
DTW,IAH,1
DTW,OKC,1
DTW,PIA,1
DTW,SAN,1
EUG,DEN,1
EWR,ATL,1
EWR,BNA,1
EWR,LAX,1
EYW,ATL,1
FLL,MDW,1
GSO,LGA,1
IAH,PDX,1
IAH,TYS,1
IND,DCA,1
ISN,IAH,1
ISP,BWI,1
JFK,HYA,1
JFK,PDX,1
JFK,SEA,1
LAS,ATL,1
LAS,IND,1
LAS,MCO,1
LAS,SNA,1
LAX,ASE,1
LAX,JFK,1
LAX,MIA,1
LAX,SAT,1
LAX,SFO,1
LAX,STL,1
LGA,MCO,1
MAF,DAL,1
MCO,IAH,1
MCO,LAX,1
MCO,SAN,1
MEM,DFW,1
MIA,ATL,1
MIA,CLT,1
MIA,IAH,1
MIA,LGA,1
MIA,PHL,1
MKE,DCA,1
MSP,ASE,1
MSP,PHL,1
MSP,RAP,1
MYR,ORD,1
OAK,LAX,1
OAK,PHX,1
OAK,SAN,1
OMA,STL,1
ONT,DEN,1
ONT,DFW,1
ORD,CLT,1
ORD,COS,1
ORD,DFW,1
ORD,DLH,1
ORD,FAI,1
ORD,FWA,1
ORD,GSP,1
ORD,HPN,1
ORD,LAX,1
ORD,MCO,1
ORD,MIA,1
PBI,ATL,1
PBI,DFW,1
PDX,DEN,1
PHL,DEN,1
PHX,ATL,1
PHX,JFK,1
PIT,ORD,1
PVD,MCO,1
PWM,BWI,1
RNO,DFW,1
SAN,SLC,1
SAT,BNA,1
SEA,PSP,1
SFO,EWR,1
SFO,ORD,1
SJU,ATL,1
SJU,BWI,1
SLC,DEN,1
SLC,MDW,1
SLC,ORD,1
SLC,PHL,1
SLC,SUN,1
SMF,MSP,1
XNA,LGA,1
