4,ATL,525
1,ATL,493
3,ATL,489
5,ATL,471
7,ATL,464
2,ATL,457
3,ORD,413
1,ORD,411
5,ORD,391
2,ORD,387
4,ORD,382
6,ATL,374
7,ORD,371
2,DFW,352
5,DFW,352
1,DFW,345
4,DFW,342
3,DFW,323
7,DFW,315
6,ORD,313
1,DEN,297
4,LAX,293
5,LAX,289
6,DFW,283
3,DEN,276
4,DEN,275
7,DEN,274
1,LAX,271
2,LAX,267
3,LAX,267
5,DEN,263
2,DEN,260
6,LAX,257
7,LAX,237
6,DEN,233
5,IAH,232
5,PHX,231
4,PHX,226
7,IAH,225
5,SFO,219
7,PHX,214
3,IAH,210
4,SFO,205
1,LAS,202
2,LAS,201
3,SFO,201
7,LAS,200
1,IAH,200
1,SFO,198
2,PHX,196
4,IAH,191
7,SFO,190
1,PHX,190
3,MSP,189
4,LAS,188
3,LAS,185
3,PHX,183
6,PHX,181
3,DTW,180
2,IAH,179
4,MSP,174
2,MSP,173
2,SFO,171
6,SFO,169
2,DTW,168
6,IAH,167
5,LAS,166
4,SEA,165
7,EWR,165
3,BOS,164
1,BOS,161
2,BOS,161
3,LGA,161
4,BOS,160
5,MSP,160
3,SEA,158
1,DTW,158
7,MCO,157
4,EWR,157
1,MSP,156
6,MCO,156
3,EWR,156
2,SLC,155
1,SEA,155
4,LGA,155
1,EWR,153
5,EWR,152
3,MCO,151
1,MCO,151
2,JFK,151
1,SLC,150
5,BOS,149
6,SEA,149
2,MCO,149
3,JFK,148
5,DTW,148
5,SLC,148
7,MSP,147
7,DTW,147
1,CLT,146
4,SLC,146
5,MCO,144
4,DTW,144
3,CLT,143
5,LGA,143
5,CLT,143
6,LAS,142
7,SEA,141
4,MCO,141
2,LGA,139
1,LGA,138
5,SEA,136
4,BWI,136
2,SEA,135
4,CLT,134
4,JFK,134
2,BWI,132
1,JFK,131
7,JFK,130
6,SLC,129
3,BWI,128
5,JFK,127
7,SLC,127
2,CLT,126
3,SLC,125
6,JFK,125
7,CLT,125
2,MDW,124
3,SAN,124
1,MDW,123
5,MDW,123
7,BOS,123
6,BOS,121
6,MSP,121
5,BWI,120
1,BWI,120
6,CLT,115
4,TPA,115
2,SAN,112
7,BWI,111
3,MDW,110
2,EWR,110
7,LGA,110
1,SAN,110
4,MIA,109
4,MDW,109
4,DCA,109
3,FLL,108
3,DAL,107
7,MDW,107
6,EWR,107
3,TPA,106
3,DCA,106
2,DCA,106
7,DCA,106
7,MIA,105
6,FLL,104
1,FLL,103
5,SAN,103
4,FLL,101
5,FLL,101
2,FLL,100
4,SAN,99
5,DCA,98
6,BWI,97
2,DAL,97
6,DTW,97
6,MDW,96
1,DCA,95
1,MIA,95
4,PHL,95
7,FLL,93
7,PHL,93
6,MIA,93
6,LGA,92
4,DAL,92
1,TPA,92
5,PHL,91
1,PHL,90
5,MIA,90
2,PHL,90
7,SAN,89
2,TPA,88
2,MIA,88
3,PHL,88
5,DAL,87
1,AUS,86
3,STL,85
4,STL,84
7,TPA,83
6,TPA,83
4,PDX,82
5,TPA,82
1,DAL,81
4,HOU,81
6,DCA,81
5,HOU,81
2,HOU,80
3,HOU,79
3,MIA,79
7,DAL,76
1,HOU,76
7,HOU,76
6,SAN,74
7,PDX,74
6,PHL,72
3,BNA,71
1,STL,69
6,HNL,69
3,OAK,69
5,HNL,68
2,OAK,67
3,SNA,66
2,AUS,65
2,BNA,64
1,SMF,64
4,MSY,64
1,PDX,64
5,CLE,64
6,HOU,63
5,PDX,63
2,PDX,63
4,OAK,63
1,BNA,63
3,PDX,62
3,SMF,62
7,HNL,62
1,SNA,62
3,MKE,61
5,SNA,61
1,CLE,61
1,HNL,60
7,AUS,60
3,MSY,60
6,STL,59
2,SJC,59
4,BNA,59
6,DAL,59
5,STL,59
5,OAK,58
2,SMF,58
5,AUS,58
6,PDX,58
1,MKE,57
4,SMF,57
5,MSY,57
4,RDU,57
1,OAK,57
7,SJC,57
4,SNA,57
1,MCI,56
7,OAK,56
1,SJC,56
3,AUS,56
7,SMF,56
2,MSY,55
5,BNA,55
6,BNA,54
7,MCI,54
3,SJC,53
7,BNA,53
2,MCI,53
2,SNA,52
2,STL,52
3,10397,52
5,RDU,51
4,HNL,51
2,CLE,51
7,MSY,51
3,MCI,51
2,HNL,51
1,SAT,50
6,OAK,50
7,SNA,50
4,13930,50
4,CLE,50
5,SMF,50
5,10397,50
5,SJC,49
5,SAT,49
4,10397,49
5,MCI,49
1,10397,49
6,MCI,49
2,MKE,48
6,AUS,48
5,IAD,48
3,RDU,48
6,IAD,48
3,HNL,48
3,IAD,48
1,RDU,48
3,SAT,48
1,IAD,48
7,IAD,47
2,IAD,47
3,CLE,46
4,SJC,46
4,MCI,46
7,STL,46
5,13930,44
6,MSY,44
6,SJU,44
7,RDU,44
2,RDU,44
4,IAD,44
7,CMH,43
4,AUS,43
4,MKE,43
4,SAT,43
6,SMF,43
6,SJC,42
6,CLE,42
1,PIT,42
6,10397,42
2,10397,42
2,11298,41
2,SAT,41
4,CMH,41
7,CLE,41
4,PBI,40
5,MKE,40
3,CMH,40
6,RDU,39
3,IND,39
3,PIT,39
1,RSW,39
2,RSW,39
3,RSW,39
3,ABQ,39
7,13930,39
5,CMH,38
5,11298,38
1,IND,38
7,11298,38
3,BUR,38
4,SJU,37
6,MKE,37
5,BUR,36
7,IND,36
1,13930,36
5,RSW,35
2,PBI,35
5,PIT,35
6,13930,35
1,MSY,35
3,ONT,35
3,OGG,35
7,RSW,35
6,RSW,35
4,11292,34
5,ABQ,34
3,13930,34
5,BDL,34
7,10397,34
4,PIT,34
3,SJU,34
1,BDL,33
2,BUF,33
1,CVG,33
2,CMH,33
4,12266,33
5,11292,33
1,SJU,33
4,IND,32
6,SNA,32
7,SJU,32
4,CVG,32
4,ABQ,32
7,ONT,32
5,SJU,31
7,JAX,31
3,CVG,31
7,BOI,31
3,BDL,31
1,CMH,31
2,BDL,31
2,OGG,30
4,11298,30
6,SAT,30
2,PIT,30
2,IND,30
7,SAT,30
1,OGG,30
6,PIT,29
3,PBI,29
3,11298,29
5,OGG,29
2,SJU,29
4,12892,28
4,14107,28
7,PIT,28
1,TUS,27
7,PBI,27
3,OMA,27
5,ONT,27
7,MKE,27
3,JAX,27
3,MEM,27
3,OKC,27
4,RSW,27
2,13930,27
5,12892,26
1,OMA,26
2,OMA,26
6,12892,26
1,OKC,26
5,PBI,26
7,TUS,26
6,BUF,26
4,14771,26
1,12892,26
5,OMA,26
1,PBI,26
6,11298,25
4,MEM,25
2,MEM,25
7,ABQ,25
6,CMH,25
4,ANC,25
6,PBI,25
2,11292,25
2,OKC,25
1,BUF,24
5,BHM,24
6,ONT,24
1,ANC,24
4,11618,24
2,ONT,24
1,RNO,24
7,11292,24
6,ANC,24
6,OGG,24
7,BUF,24
2,12892,24
7,OMA,23
5,OKC,23
1,11298,23
1,BOI,23
6,11292,23
7,TUL,23
2,BUR,23
2,ABQ,23
4,TUS,23
4,TUL,23
1,CHS,23
1,BUR,23
7,KOA,22
7,ELP,22
4,12889,22
3,12892,22
3,TUS,22
6,12889,22
1,ONT,22
7,OGG,22
1,ABQ,22
1,TUL,22
7,MEM,22
5,IND,22
3,BUF,22
1,11433,22
7,BDL,22
3,14771,22
1,MEM,22
2,TUL,22
2,RIC,21
7,ANC,21
5,14107,21
6,BDL,21
1,14771,21
2,CVG,21
2,BHM,21
1,11292,21
1,LGB,21
3,ANC,21
4,CHS,21
4,OKC,21
6,12266,21
7,12892,21
3,11292,21
7,BUR,21
6,14747,20
3,RNO,20
6,IND,20
5,12266,20
2,JAX,20
4,SDF,20
5,14771,20
5,BUF,20
6,TUS,20
5,RIC,20
1,JAX,20
3,MSN,20
